Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,PromptMode,LevelMode
97302,44519,e1_kf,9,failure,unknown-correct,correct,,
44519,69885,e1_kf,10,failure,insight,correct,,
69885,69885,e1_kf,11,failure,insight,correct,,
69885,69885,e1_kf,12,failure,insight,correct,,
69885,88970,e1_kf,13,failure,insight,correct,,
88970,88970,e1_kf,14,failure,insight,correct,,
88970,59538,e1_kf,15,failure,insight,correct,,
59538,94860,e1_kf,16,failure,insight,correct,,
94860,94860,e1_kf,17,failure,insight,correct,,
94860,59538,e1_kf,18,failure,insight,correct,,
59538,36400,e1_kf,19,failure,insight,correct,,
36400,36400,e1_kf,20,failure,insight,correct,,
36400,27076,e1_kf,21,failure,insight,correct,,
27076,81898,e1_kf,22,failure,insight,correct,,
81898,69885,e1_kf,23,failure,insight,correct,,
69885,69885,e1_kf,24,failure,insight,correct,,
69885,82448,e1_kf,25,failure,insight,correct,,
82448,69885,e1_kf,26,failure,insight,correct,,
69885,69885,e1_kf,27,failure,insight,correct,,
69885,69885,e1_kf,28,failure,insight,correct,,
69885,69885,e1_kf,29,failure,insight,correct,,
69885,71914,e1_kf,30,failure,insight,correct,,
71914,69885,e1_kf,31,failure,insight,correct,,
69885,69885,e1_kf,32,failure,insight,correct,,
69885,69885,e1_kf,33,failure,insight,correct,,
69885,69885,e1_kf,34,failure,insight,correct,,
69885,50228,e1_kf,35,failure,insight,correct,,
50228,69885,e1_kf,36,failure,insight,correct,,
69885,69885,e1_kf,37,failure,insight,correct,,
69885,69885,e1_kf,38,failure,insight,correct,,
69885,27076,e1_kf,39,failure,insight,correct,,
27076,81898,e1_kf,40,failure,insight,correct,,
81898,69885,e1_kf,41,failure,insight,correct,,
69885,82448,e1_kf,42,failure,insight,correct,,
82448,69885,e1_kf,43,failure,insight,correct,,
69885,69885,e1_kf,44,failure,insight,correct,,
69885,81898,e1_kf,45,failure,insight,correct,,
81898,87954,e1_kf,46,failure,unknown-correct,correct,,
87954,81898,e1_kf,47,failure,insight,correct,,
81898,75083,e1_kf,48,failure,,,,
65914,59182,e1_kf,0,failure,insight,correct,,
59182,49330,e1_kf,1,failure,insight,correct,,
49330,54195,e1_kf,2,failure,insight,correct,,
54195,35328,e1_kf,3,failure,insight,correct,,
35328,35328,e1_kf,4,failure,insight,correct,,
35328,35328,e1_kf,5,failure,insight,correct,,
35328,35328,e1_kf,6,failure,insight,correct,,
35328,35328,e1_kf,7,failure,insight,correct,,
35328,35328,e1_kf,8,failure,insight,correct,,
35328,35328,e1_kf,9,failure,insight,correct,,
35328,35328,e1_kf,10,failure,insight,correct,,
35328,35328,e1_kf,11,failure,insight,correct,,
35328,35328,e1_kf,12,failure,insight,correct,,
35328,35328,e1_kf,13,failure,insight,correct,,
35328,35328,e1_kf,14,failure,insight,correct,,
35328,35328,e1_kf,15,failure,insight,correct,,
35328,35328,e1_kf,16,failure,insight,correct,,
35328,35328,e1_kf,17,failure,insight,correct,,
